epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,84.4804,3.24553,3.58083,3.68119,0.46476,0.28294,0.28022,0.12126,2.342,2.55704,2.83801,0.00996154,0.00332051,0.00996154,0.00332051,0.00996154,0.00332051,0.00996154,0.00332051
2,225.691,1.98637,1.9596,2.27775,0.67391,0.44024,0.4722,0.26006,1.65463,2.73973,1.93402,0.0198957,0.00663189,0.0198957,0.00663189,0.0198957,0.00663189,0.0198957,0.00663189
3,298.395,1.61219,1.51669,1.78397,0.74935,0.48337,0.53513,0.32952,1.52188,1.5483,1.71452,0.0297638,0.00992126,0.0297638,0.00992126,0.0297638,0.00992126,0.0297638,0.00992126
4,378.049,1.42143,1.31446,1.57346,0.83073,0.55523,0.63017,0.42661,1.26877,1.225,1.43983,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,453.774,1.30487,1.18314,1.459,0.81942,0.50841,0.58952,0.40945,1.25459,1.37568,1.43697,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,527.638,1.22876,1.09304,1.39659,0.87566,0.5767,0.66896,0.47342,1.11534,1.01031,1.30807,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,605.035,1.18118,1.0402,1.35058,0.87753,0.59444,0.69153,0.50157,1.04059,0.9487,1.24547,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,679.215,1.14168,0.9969,1.31732,0.87492,0.59338,0.69353,0.50439,1.03906,0.94299,1.25059,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,753.473,1.115,0.966,1.29422,0.88462,0.6094,0.71532,0.52933,0.98726,0.87444,1.21426,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,831.683,1.10031,0.9497,1.27922,0.88592,0.61211,0.71257,0.5274,0.97578,0.85875,1.18881,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,906.25,1.07643,0.92544,1.25964,0.87326,0.62155,0.7167,0.53275,0.96441,0.84807,1.18168,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,980.582,1.05965,0.90574,1.24423,0.87911,0.62611,0.72355,0.54147,0.93494,0.83086,1.15581,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1054.5,1.04746,0.89149,1.23201,0.87862,0.63083,0.73348,0.55276,0.91999,0.80787,1.15155,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1131.1,1.03114,0.86958,1.21829,0.88362,0.63144,0.72986,0.54646,0.92641,0.81114,1.15113,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1205.42,1.0221,0.86281,1.21057,0.87274,0.64739,0.74993,0.57053,0.8769,0.7581,1.11845,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1279.32,1.01372,0.8518,1.2009,0.87825,0.64507,0.7414,0.56412,0.87865,0.79411,1.1228,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1356.87,1.00457,0.84121,1.19222,0.88192,0.64439,0.74816,0.57216,0.86603,0.74956,1.10718,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1431.82,0.99907,0.8358,1.19252,0.87226,0.65502,0.7496,0.5757,0.85194,0.74967,1.106,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1505.46,0.9866,0.82583,1.18315,0.88246,0.64933,0.74983,0.5747,0.85616,0.74333,1.10222,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1583.58,0.99041,0.82359,1.18407,0.88565,0.66014,0.75693,0.58372,0.83732,0.72599,1.08505,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1656.26,0.97638,0.81498,1.17444,0.88545,0.66113,0.75746,0.5875,0.82731,0.72047,1.08861,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1729.8,0.97272,0.80686,1.16911,0.88261,0.65664,0.75769,0.58793,0.82421,0.72432,1.0825,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1808.77,0.96409,0.79751,1.16612,0.89071,0.66267,0.76343,0.59325,0.81889,0.70427,1.07952,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1882.97,0.9663,0.80188,1.16819,0.88447,0.66053,0.76481,0.59407,0.81716,0.71172,1.07875,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1956.74,0.95782,0.79413,1.16147,0.88468,0.66524,0.76722,0.59989,0.80038,0.69005,1.066,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2030.9,0.95819,0.79192,1.15889,0.88047,0.66684,0.76695,0.5987,0.8063,0.69213,1.06588,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2107.35,0.94918,0.78172,1.15348,0.88438,0.67758,0.77274,0.60375,0.7912,0.68267,1.05644,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2182.02,0.9421,0.77856,1.15086,0.88256,0.674,0.7727,0.60602,0.78338,0.66849,1.05728,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2255.73,0.94622,0.77681,1.1502,0.88721,0.67689,0.77549,0.60926,0.78011,0.67158,1.05465,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2333.3,0.93764,0.77664,1.14883,0.88359,0.67484,0.77369,0.61005,0.77595,0.67222,1.04888,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2406.94,0.93534,0.76998,1.14672,0.88244,0.68093,0.77476,0.61137,0.77108,0.66225,1.045,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2481.12,0.93523,0.77086,1.144,0.89518,0.6723,0.77497,0.61128,0.76646,0.66653,1.04315,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2558.72,0.92827,0.76899,1.14207,0.8895,0.67539,0.77662,0.61449,0.76292,0.65855,1.04295,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2632.66,0.92924,0.76284,1.13912,0.89351,0.67712,0.77741,0.61529,0.76557,0.6593,1.04025,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2706.41,0.92232,0.7586,1.13844,0.89002,0.67606,0.78039,0.61738,0.75922,0.64588,1.03778,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2779.66,0.92245,0.75797,1.13705,0.89266,0.67918,0.78115,0.62008,0.75086,0.64671,1.03657,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2857.34,0.92233,0.75453,1.13531,0.88636,0.68329,0.78171,0.6204,0.74999,0.6471,1.03279,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2931.44,0.91345,0.75255,1.13243,0.89117,0.67895,0.78076,0.62165,0.74353,0.64225,1.02982,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3005.19,0.91812,0.75089,1.1336,0.89314,0.68087,0.78305,0.62316,0.74299,0.64183,1.02913,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3082.03,0.91519,0.75048,1.13086,0.88525,0.68542,0.78342,0.62356,0.74052,0.63827,1.02589,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3156.51,0.91393,0.75056,1.1306,0.88825,0.68725,0.78479,0.62519,0.73894,0.63455,1.02552,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3231.16,0.90996,0.74194,1.12432,0.88824,0.68763,0.78669,0.62646,0.73659,0.6295,1.02249,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3308.91,0.91176,0.74713,1.1277,0.89031,0.68824,0.78807,0.62849,0.7324,0.62466,1.01975,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3382.44,0.90576,0.7421,1.12536,0.89652,0.68596,0.78767,0.62841,0.73075,0.62626,1.01855,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3455.48,0.90463,0.73907,1.12435,0.89314,0.68618,0.78611,0.62816,0.7287,0.62389,1.01868,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3532.08,0.90299,0.73714,1.12139,0.89227,0.68809,0.78803,0.62917,0.72798,0.62127,1.01686,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3608.3,0.90229,0.73857,1.12319,0.89124,0.68811,0.78822,0.63051,0.72469,0.61961,1.0158,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3681.53,0.90147,0.73453,1.12043,0.88891,0.68968,0.78953,0.63117,0.72213,0.61624,1.01518,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,3755.4,0.89919,0.73096,1.12037,0.88888,0.69186,0.79048,0.63198,0.72038,0.61497,1.01373,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,3833.46,0.90543,0.73541,1.12133,0.88968,0.69174,0.78962,0.63191,0.72025,0.61517,1.01383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
